,Delta,Theta,Alpha,Beta,Gamma,Subject,Session,Condition,BinaryCondition,TernaryCondition
ECoG_ch124,0.045807571656042705,0.010296206913260029,0.005504508712225645,0.0024077274768802776,0.0014430926980253918,TestSub01,TestSession,AwakeEyesOpened,Conscious,Conscious
ECoG_ch125,0.033827356587275786,0.008273239136782864,0.004102001900942695,0.0018927637001034158,0.0012341617167838264,TestSub01,TestSession,AwakeEyesOpened,Conscious,Conscious
ECoG_ch126,0.04047646696493037,0.009543576602962503,0.005402194537267747,0.002278803364129495,0.001423887529841834,TestSub01,TestSession,AwakeEyesOpened,Conscious,Conscious
ECoG_ch127,0.03125771144582813,0.0071299009855120095,0.003340458022885358,0.0017267403453360426,0.001204281806244196,TestSub01,TestSession,AwakeEyesOpened,Conscious,Conscious
ECoG_ch128,0.035752123416063285,0.00834254745691601,0.0043097836644920996,0.002031554302982472,0.0013861371958277275,TestSub01,TestSession,AwakeEyesOpened,Conscious,Conscious
ECoG_ch001,0.02409971332527757,0.002751648980509086,0.001581301582526992,0.001105882882813178,0.0008023666358686522,TestSub01,TestSession,RecoveryEyesClosed,,InBetween
ECoG_ch002,0.014904327188550925,0.0025176948106726497,0.0012826568194886133,0.0009266037588606185,0.000651102586341251,TestSub01,TestSession,RecoveryEyesClosed,,InBetween
ECoG_ch003,0.01434317874284052,0.0023594004064923543,0.0012211087255803897,0.000784546198494599,0.0005338759290881387,TestSub01,TestSession,RecoveryEyesClosed,,InBetween
ECoG_ch004,0.024819876571489093,0.004767542134397061,0.0023309021479665046,0.0011401354239942197,0.0007859654861591921,TestSub01,TestSession,RecoveryEyesClosed,,InBetween
ECoG_ch005,0.0249447075794662,0.0062170461744536975,0.003247598223822817,0.002089525048834064,0.001491245137089579,TestSub01,TestSession,RecoveryEyesClosed,,InBetween
ECoG_ch006,0.023059830885385227,0.005417766465619614,0.002906880059169583,0.0020054061938898585,0.0013894368831666776,TestSub01,TestSession,RecoveryEyesClosed,,InBetween
ECoG_ch007,0.018639635345314376,0.004506143170897671,0.0024788942634099403,0.0016620198468973752,0.0011854076205441656,TestSub01,TestSession,RecoveryEyesClosed,,InBetween
ECoG_ch008,0.01356458135285616,0.003667571650421799,0.002014239321812095,0.0014756841769445618,0.0010664203520567156,TestSub01,TestSession,RecoveryEyesClosed,,InBetween
ECoG_ch009,0.013560246781345098,0.003191680294617274,0.0016545416457232796,0.0012379429727945304,0.0008947016549251452,TestSub01,TestSession,RecoveryEyesClosed,,InBetween
ECoG_ch010,0.013523009443594835,0.0029857592916881837,0.0014225246472663834,0.0009728560009536077,0.0006995780322773611,TestSub01,TestSession,RecoveryEyesClosed,,InBetween
ECoG_ch011,0.01472553296228467,0.0029454051048211573,0.0014702727632857663,0.00088390830059221,0.0005944710754964031,TestSub01,TestSession,RecoveryEyesClosed,,InBetween
ECoG_ch012,0.020690897569255722,0.0037254086842052696,0.001879483002102247,0.0009834803431447703,0.000656696071355625,TestSub01,TestSession,RecoveryEyesClosed,,InBetween
ECoG_ch013,0.027482347364590647,0.005418337666014204,0.002467822598767012,0.001213096327631346,0.0007932722623321954,TestSub01,TestSession,RecoveryEyesClosed,,InBetween
ECoG_ch014,0.03089184944745767,0.007715980501438372,0.004089535157423441,0.002332894081612421,0.0017503153020449968,TestSub01,TestSession,RecoveryEyesClosed,,InBetween
ECoG_ch015,0.021078021831065944,0.005074443258734066,0.003002882153343474,0.0019091476222192541,0.0014681920593849717,TestSub01,TestSession,RecoveryEyesClosed,,InBetween
ECoG_ch016,0.031139199675305478,0.005110212393251901,0.0027600468679502524,0.001728079329824669,0.0012347452438588628,TestSub01,TestSession,RecoveryEyesClosed,,InBetween
ECoG_ch017,0.02804745933084499,0.0041774650343816165,0.0020411775554797177,0.0013531531171671648,0.0009926380669997745,TestSub01,TestSession,RecoveryEyesClosed,,InBetween
ECoG_ch018,0.020920244111000606,0.003921315657052484,0.0017997607891421686,0.0012649482125800613,0.0009241263834910372,TestSub01,TestSession,RecoveryEyesClosed,,InBetween
ECoG_ch019,0.01524654250587431,0.0034952668117670463,0.0015995328135424453,0.0010601739342819948,0.0007704907425343232,TestSub01,TestSession,RecoveryEyesClosed,,InBetween
ECoG_ch020,0.015504340910333496,0.0033014981755021123,0.001584324044675262,0.0009725464792061957,0.0006892122189893743,TestSub01,TestSession,RecoveryEyesClosed,,InBetween
ECoG_ch021,0.02146225239794151,0.0035684035894161365,0.0019058993685253274,0.001055610036239354,0.0007170634739768702,TestSub01,TestSession,RecoveryEyesClosed,,InBetween
ECoG_ch022,0.02550373054364817,0.005626410757115729,0.0026638858386610637,0.0013868795920609948,0.0009282461063047887,TestSub01,TestSession,RecoveryEyesClosed,,InBetween
ECoG_ch023,0.03737696291187557,0.004596579583744881,0.00281287567971947,0.001665977727536443,0.0013722828276617768,TestSub01,TestSession,RecoveryEyesClosed,,InBetween
ECoG_ch024,0.033782169692644956,0.004800237705515109,0.002856396462676067,0.0016831951921025315,0.0013534255171551604,TestSub01,TestSession,RecoveryEyesClosed,,InBetween
ECoG_ch025,0.04286538186868416,0.008903272694080365,0.003924800108838215,0.001977006675369174,0.0015923023070718266,TestSub01,TestSession,RecoveryEyesClosed,,InBetween
ECoG_ch026,0.02560634448678215,0.005224950236587818,0.002843931558515691,0.0016500184036136727,0.0012971335988006029,TestSub01,TestSession,RecoveryEyesClosed,,InBetween
ECoG_ch027,0.03701107205665988,0.0042749803175413095,0.0023956479811517704,0.0015294894676068126,0.001130991144234233,TestSub01,TestSession,RecoveryEyesClosed,,InBetween
ECoG_ch028,0.03148922204779063,0.004278641857521423,0.0021361653959125356,0.0014009448136741947,0.0010430744009502155,TestSub01,TestSession,RecoveryEyesClosed,,InBetween
ECoG_ch029,0.02975073654511865,0.004245989689994673,0.001991827424478721,0.0013220737699588632,0.0009736474569825902,TestSub01,TestSession,RecoveryEyesClosed,,InBetween
ECoG_ch030,0.02236948750750909,0.0038575240756179283,0.0017898354316288774,0.0011908959204354331,0.0008758101866589393,TestSub01,TestSession,RecoveryEyesClosed,,InBetween
ECoG_ch031,0.017367323053042734,0.003246368688350576,0.0016548229171982746,0.00107494969293503,0.0007758093085009173,TestSub01,TestSession,RecoveryEyesClosed,,InBetween
ECoG_ch032,0.015400453743015779,0.0026993176608857334,0.0015513664453080617,0.0010116537704055026,0.0007235536387936757,TestSub01,TestSession,RecoveryEyesClosed,,InBetween
ECoG_ch033,0.017856572660329716,0.0031398963465330792,0.0018262192745961507,0.001255127552752916,0.0008883096923272688,TestSub01,TestSession,RecoveryEyesClosed,,InBetween
ECoG_ch034,0.11565820293727283,0.03700394829456109,0.014682335340560158,0.005885124729573305,0.0022388991535456405,TestSub01,TestSession,RecoveryEyesClosed,,InBetween
ECoG_ch035,0.0338139360727423,0.007092501190847475,0.0034520792777045974,0.0019141308337222028,0.0015209527026293335,TestSub01,TestSession,RecoveryEyesClosed,,InBetween
ECoG_ch036,0.027791105239679474,0.007158207042874636,0.0037781045400201814,0.0019147372774915219,0.0015395871371029393,TestSub01,TestSession,RecoveryEyesClosed,,InBetween
ECoG_ch037,0.03580903808105102,0.005900300063513663,0.003345535781939173,0.0018342942130651428,0.0014395005245231352,TestSub01,TestSession,RecoveryEyesClosed,,InBetween
ECoG_ch038,0.04309577441908346,0.005294905801686688,0.0029845864199490083,0.0017227373590173838,0.0013105967134567364,TestSub01,TestSession,RecoveryEyesClosed,,InBetween
ECoG_ch039,0.034529519495503654,0.0048071523024738475,0.002368920269203537,0.001550417908141189,0.0012327994001096044,TestSub01,TestSession,RecoveryEyesClosed,,InBetween
ECoG_ch040,0.03121297894486583,0.004435768588479725,0.0021145331880683474,0.0014331451924415762,0.0011176193453794766,TestSub01,TestSession,RecoveryEyesClosed,,InBetween
ECoG_ch041,0.02914582197891538,0.0042309495727475156,0.002039055966490026,0.0013615781287354364,0.0010211669719838404,TestSub01,TestSession,RecoveryEyesClosed,,InBetween
ECoG_ch042,0.021043324204401723,0.0035420489162290964,0.0017981979684754054,0.0011778192612585889,0.0008753980575210632,TestSub01,TestSession,RecoveryEyesClosed,,InBetween
ECoG_ch043,0.018096268834579713,0.0033144613897997752,0.0018619708396511014,0.0011690718721101378,0.000889486239074908,TestSub01,TestSession,RecoveryEyesClosed,,InBetween
ECoG_ch044,0.017858070540968867,0.0035229881941009713,0.002063625960873537,0.0012173290581267214,0.0009637240135506451,TestSub01,TestSession,RecoveryEyesClosed,,InBetween
ECoG_ch045,0.04288127512806078,0.010134334095431888,0.004545404727561334,0.0024354893495374887,0.0019024326690538242,TestSub01,TestSession,RecoveryEyesClosed,,InBetween
ECoG_ch046,0.04049949846748029,0.008752548816155049,0.004282118300618725,0.0025511362022265925,0.0023317914476567642,TestSub01,TestSession,RecoveryEyesClosed,,InBetween
ECoG_ch047,0.04868191724921181,0.009166356569130028,0.004301734075142342,0.0026684720361393353,0.0024718216351769942,TestSub01,TestSession,RecoveryEyesClosed,,InBetween
ECoG_ch048,0.04746495875223396,0.007592572172313561,0.0038503135508748424,0.0026540801477032555,0.0022919690500705562,TestSub01,TestSession,RecoveryEyesClosed,,InBetween
ECoG_ch049,0.052125943467541375,0.007675757189702944,0.004518860866739214,0.00275598191281923,0.002422659297198131,TestSub01,TestSession,RecoveryEyesClosed,,InBetween
ECoG_ch050,0.049932528683774485,0.007117137901458031,0.003966426734043425,0.002445363603789741,0.002140454242176181,TestSub01,TestSession,RecoveryEyesClosed,,InBetween
ECoG_ch051,0.04721273757498788,0.006980530927613044,0.003554530979636676,0.0020785593802174064,0.0016350216684980754,TestSub01,TestSession,RecoveryEyesClosed,,InBetween
ECoG_ch052,0.060635449331963735,0.013303442028573647,0.007849849010720793,0.003832981131877527,0.0030477585570141052,TestSub01,TestSession,RecoveryEyesClosed,,InBetween
ECoG_ch053,0.05492854084430987,0.01338906150482319,0.009429940112689474,0.0038765815552870894,0.0029814126887137515,TestSub01,TestSession,RecoveryEyesClosed,,InBetween
ECoG_ch054,0.050189086171800165,0.011861035197325016,0.00800552540341023,0.0034128723684708094,0.0027680717875553334,TestSub01,TestSession,RecoveryEyesClosed,,InBetween
ECoG_ch055,0.04768365074668932,0.010153294864330814,0.006862699470031868,0.0029170502130875784,0.002435020529337739,TestSub01,TestSession,RecoveryEyesClosed,,InBetween
ECoG_ch056,0.05038842604054113,0.017724881604007165,0.007619543333291571,0.003499251571864138,0.002631604924245957,TestSub01,TestSession,RecoveryEyesClosed,,InBetween
ECoG_ch057,0.047992104043220435,0.014883635190477452,0.006080196893958564,0.002971212971501347,0.0024999738805079118,TestSub01,TestSession,RecoveryEyesClosed,,InBetween
ECoG_ch058,0.05852374105562626,0.013768545542083807,0.006063072536032129,0.003054295797394953,0.0025698811855277386,TestSub01,TestSession,RecoveryEyesClosed,,InBetween
ECoG_ch059,0.06154221633612384,0.012517552278487313,0.006485500229802972,0.0032650183606712357,0.002337120901705947,TestSub01,TestSession,RecoveryEyesClosed,,InBetween
ECoG_ch060,0.05639140831943946,0.011479633072818551,0.007233988251571699,0.00318033154615041,0.0022855788649554115,TestSub01,TestSession,RecoveryEyesClosed,,InBetween
ECoG_ch061,0.05577720175790811,0.012246061640584914,0.008618664307197453,0.003460189514453003,0.002552792775854838,TestSub01,TestSession,RecoveryEyesClosed,,InBetween
ECoG_ch062,0.05083541545321706,0.012626148232329541,0.00988675706450611,0.0038965758679857672,0.0030672889965353586,TestSub01,TestSession,RecoveryEyesClosed,,InBetween
ECoG_ch063,0.05800278074402445,0.023591241814741138,0.007406498995582627,0.0029722371905404705,0.002259702820807961,TestSub01,TestSession,RecoveryEyesClosed,,InBetween
ECoG_ch064,0.04805242043452685,0.01721070136639807,0.0060949343510576385,0.0027971632191724897,0.0022503358619517856,TestSub01,TestSession,RecoveryEyesClosed,,InBetween
ECoG_ch065,0.0557193188200108,0.015582561981181403,0.0056941605463908095,0.0029102677321298665,0.0021585868557057954,TestSub01,TestSession,RecoveryEyesClosed,,InBetween
ECoG_ch066,0.04316505301355264,0.01279412934358928,0.005183886847086554,0.0028336543002592802,0.0019408532080523485,TestSub01,TestSession,RecoveryEyesClosed,,InBetween
ECoG_ch067,0.042112927480861144,0.010833831808778508,0.004610863123521296,0.0023458918538254003,0.0016325106049064149,TestSub01,TestSession,RecoveryEyesClosed,,InBetween
ECoG_ch068,0.05486196847006041,0.013480613996794545,0.005437089465774382,0.0025928247161099687,0.0018744864323473728,TestSub01,TestSession,RecoveryEyesClosed,,InBetween
ECoG_ch069,0.05944317891681614,0.014023276570116023,0.00628200566106093,0.0028076341597818447,0.0018897428452525414,TestSub01,TestSession,RecoveryEyesClosed,,InBetween
ECoG_ch070,0.06756300986776048,0.016847627239251692,0.00817042809123825,0.0033257718417929057,0.001958177165345654,TestSub01,TestSession,RecoveryEyesClosed,,InBetween
ECoG_ch071,0.0721721915895213,0.017986511635062596,0.008259579625463172,0.003458604833276614,0.0019306606374880578,TestSub01,TestSession,RecoveryEyesClosed,,InBetween
ECoG_ch072,0.07104432148409544,0.018497758605620307,0.007458099923613159,0.0030054150284233214,0.001610390340446586,TestSub01,TestSession,RecoveryEyesClosed,,InBetween
ECoG_ch073,0.04363987921057635,0.01047651315763926,0.004777330503581629,0.002351134346191633,0.0015759269228301433,TestSub01,TestSession,RecoveryEyesClosed,,InBetween
ECoG_ch074,0.04263356504941554,0.009662662679436365,0.004705134490544826,0.0021056031987800035,0.0011455814236675846,TestSub01,TestSession,RecoveryEyesClosed,,InBetween
ECoG_ch075,0.03530655321656769,0.0077855627346567115,0.003990281198842025,0.001872155235568745,0.0010912151966640856,TestSub01,TestSession,RecoveryEyesClosed,,InBetween
ECoG_ch076,0.031835137884664425,0.007307708375727898,0.00382305938510444,0.0018402433745760497,0.0011536630017538647,TestSub01,TestSession,RecoveryEyesClosed,,InBetween
ECoG_ch077,0.02902287430731637,0.007583629797257876,0.003511812923588705,0.0018816988604588387,0.001277361210316417,TestSub01,TestSession,RecoveryEyesClosed,,InBetween
ECoG_ch078,0.027200788942297466,0.007631434366200557,0.003291913430371013,0.0019913488804114013,0.0014744658859284251,TestSub01,TestSession,RecoveryEyesClosed,,InBetween
ECoG_ch079,0.02661956087901463,0.007732060021714577,0.003194344402942261,0.0019215154310487715,0.0014409528547797837,TestSub01,TestSession,RecoveryEyesClosed,,InBetween
ECoG_ch080,0.04321217353201568,0.009544824910130544,0.004294278046419599,0.0021261551869825,0.0014659576900627744,TestSub01,TestSession,RecoveryEyesClosed,,InBetween
ECoG_ch081,0.04382772396960027,0.009811824627102943,0.004661188519188168,0.0020885871937128308,0.0014009542566876764,TestSub01,TestSession,RecoveryEyesClosed,,InBetween
ECoG_ch082,0.05780449210475416,0.011773045570236512,0.00596199882234786,0.002451943209731221,0.0015410493752515623,TestSub01,TestSession,RecoveryEyesClosed,,InBetween
ECoG_ch083,0.06924642091540886,0.01450509953893338,0.006994655357211478,0.0027907368649137346,0.0015897109148295587,TestSub01,TestSession,RecoveryEyesClosed,,InBetween
ECoG_ch084,0.05802959476921917,0.014065218171018695,0.005954861022517842,0.0024705158427922543,0.0013556843464397877,TestSub01,TestSession,RecoveryEyesClosed,,InBetween
ECoG_ch085,0.049257687526257615,0.011207869673420294,0.0048289570684938,0.002114276254621397,0.001151935021427919,TestSub01,TestSession,RecoveryEyesClosed,,InBetween
ECoG_ch086,0.04234167908274701,0.009165864427392983,0.004273724518897046,0.001984690496703268,0.0010953699252125987,TestSub01,TestSession,RecoveryEyesClosed,,InBetween
ECoG_ch087,0.03611102151886898,0.007674921147572004,0.003816428499790953,0.0018848482155160726,0.001039566149150413,TestSub01,TestSession,RecoveryEyesClosed,,InBetween
ECoG_ch088,0.02909236375823498,0.006775873898599576,0.003623119418987066,0.001859219260208503,0.001055966020320015,TestSub01,TestSession,RecoveryEyesClosed,,InBetween
ECoG_ch089,0.026710791234132038,0.0069764984738581405,0.0035032343850549155,0.0018514345017605022,0.0011269389905996844,TestSub01,TestSession,RecoveryEyesClosed,,InBetween
ECoG_ch090,0.027524186501116866,0.0073554936611247655,0.0032281263156468897,0.0018732471807809395,0.0012241603092563536,TestSub01,TestSession,RecoveryEyesClosed,,InBetween
ECoG_ch091,0.026021032541295806,0.007520727216848546,0.0032348552628796334,0.001901093073525691,0.0012817964323757,TestSub01,TestSession,RecoveryEyesClosed,,InBetween
ECoG_ch092,0.05579929044492621,0.014884514186224775,0.005777553364118471,0.003212658821985186,0.0021922187206476116,TestSub01,TestSession,RecoveryEyesClosed,,InBetween
ECoG_ch093,0.055302087039404584,0.013311469448384636,0.005765682734897275,0.0030917087555090584,0.002407984462683444,TestSub01,TestSession,RecoveryEyesClosed,,InBetween
ECoG_ch094,0.05155152225148036,0.01286569061865022,0.00586505455400976,0.003026272058745356,0.0022632006928771874,TestSub01,TestSession,RecoveryEyesClosed,,InBetween
ECoG_ch095,0.048705161094914566,0.012205312500153422,0.006308531843905584,0.0028545958822025477,0.0019651781306429424,TestSub01,TestSession,RecoveryEyesClosed,,InBetween
ECoG_ch096,0.055662571307628604,0.01645880864202923,0.008472765417110287,0.0033639881125693935,0.0019290948527703133,TestSub01,TestSession,RecoveryEyesClosed,,InBetween
ECoG_ch097,0.05370193203265377,0.015927872804816865,0.0073601364102425905,0.0031611695183189014,0.0018895692248157893,TestSub01,TestSession,RecoveryEyesClosed,,InBetween
ECoG_ch098,0.054999956243408615,0.012706333434898645,0.00621524494778987,0.0024865378813393015,0.0013181667630063302,TestSub01,TestSession,RecoveryEyesClosed,,InBetween
ECoG_ch099,0.04331972374463085,0.00856301479306253,0.003975591208860305,0.0018470850902328679,0.0010276165656245824,TestSub01,TestSession,RecoveryEyesClosed,,InBetween
ECoG_ch100,0.038010841847972036,0.007083118279546543,0.0035488556224633535,0.0018493258852749289,0.0009833512863367474,TestSub01,TestSession,RecoveryEyesClosed,,InBetween
ECoG_ch101,0.03191213783346823,0.006807716897300858,0.0038387768613773084,0.002085089252462784,0.001078680212593427,TestSub01,TestSession,RecoveryEyesClosed,,InBetween
ECoG_ch102,0.02722757903759946,0.007147181144252846,0.004020697460577203,0.002126578872253924,0.0011000718328235462,TestSub01,TestSession,RecoveryEyesClosed,,InBetween
ECoG_ch103,0.02817590623738568,0.0071683892803341654,0.0033722024756993245,0.0020249309052878814,0.0011947547739183883,TestSub01,TestSession,RecoveryEyesClosed,,InBetween
ECoG_ch104,0.027497788629491385,0.007381276297841113,0.00346258009708729,0.0020462027636499684,0.0012011686688503396,TestSub01,TestSession,RecoveryEyesClosed,,InBetween
ECoG_ch105,0.044213344546608184,0.0122044857845237,0.005383728063692861,0.0033191152023951277,0.0025070110564073935,TestSub01,TestSession,RecoveryEyesClosed,,InBetween
ECoG_ch106,0.04369863887269821,0.010684521498750115,0.004911121791520778,0.002796031651235483,0.002144719576728087,TestSub01,TestSession,RecoveryEyesClosed,,InBetween
ECoG_ch107,0.043102575089983136,0.010238320985098354,0.004840404792214299,0.002631903051548381,0.0018738350421865766,TestSub01,TestSession,RecoveryEyesClosed,,InBetween
ECoG_ch108,0.035625093682065984,0.009010829933855788,0.004680253738201552,0.0024960221588552415,0.0017874666280509868,TestSub01,TestSession,RecoveryEyesClosed,,InBetween
ECoG_ch109,0.04339604665541918,0.00788353458854914,0.0034566634177427727,0.0016168788179109874,0.0009346327044243156,TestSub01,TestSession,RecoveryEyesClosed,,InBetween
ECoG_ch110,0.0385894671348117,0.006909236919211497,0.003286667354962392,0.0016045998026720223,0.0009031832124885254,TestSub01,TestSession,RecoveryEyesClosed,,InBetween
ECoG_ch111,0.03192455882543352,0.006854574491354126,0.003724706299934553,0.0019968601301801805,0.0010678126640491677,TestSub01,TestSession,RecoveryEyesClosed,,InBetween
ECoG_ch112,0.030040635647446724,0.007395082725772548,0.004007162707909924,0.0021559751370252476,0.0011049910092362967,TestSub01,TestSession,RecoveryEyesClosed,,InBetween
ECoG_ch113,0.027874713252135273,0.0072240511460195285,0.0036257395937288506,0.0021054408048877394,0.0011542555108946596,TestSub01,TestSession,RecoveryEyesClosed,,InBetween
ECoG_ch114,0.028566108594523985,0.00763572582014428,0.003785130280533524,0.00219538781653024,0.0011912636645724853,TestSub01,TestSession,RecoveryEyesClosed,,InBetween
ECoG_ch115,0.02980995625395346,0.006871383500268613,0.0035433580511838613,0.0017476417195412127,0.0010539497671902234,TestSub01,TestSession,RecoveryEyesClosed,,InBetween
ECoG_ch116,0.029584249295745227,0.006723058261803633,0.003230533039680823,0.001678258482237847,0.001019504862178425,TestSub01,TestSession,RecoveryEyesClosed,,InBetween
ECoG_ch117,0.030338433507855946,0.007848379616115252,0.003676340934045317,0.0018903508862268558,0.0010968791338137544,TestSub01,TestSession,RecoveryEyesClosed,,InBetween
ECoG_ch118,0.03220088980698358,0.00799204397721993,0.003671491207906411,0.0018860731803861594,0.0011517491123706578,TestSub01,TestSession,RecoveryEyesClosed,,InBetween
ECoG_ch119,0.03379268651055271,0.00917559081979034,0.003914892463266795,0.0019061467773327848,0.001216786246557782,TestSub01,TestSession,RecoveryEyesClosed,,InBetween
ECoG_ch120,0.036354980254707965,0.009102931666557165,0.004080421177136762,0.0019500506267046789,0.0013255407504938008,TestSub01,TestSession,RecoveryEyesClosed,,InBetween
ECoG_ch121,0.03747253940067334,0.0092493394621635,0.004311158022651362,0.002124462823868503,0.0014420377193705227,TestSub01,TestSession,RecoveryEyesClosed,,InBetween
ECoG_ch122,0.046159630942763936,0.010678614606012821,0.005861629865811873,0.0026572985241843806,0.0015222687296844147,TestSub01,TestSession,RecoveryEyesClosed,,InBetween
ECoG_ch123,0.03767582915050756,0.009061016853517406,0.004328752961913133,0.0020331024667498013,0.001260545292357899,TestSub01,TestSession,RecoveryEyesClosed,,InBetween
ECoG_ch124,0.045807571656042705,0.010296206913260029,0.005504508712225645,0.0024077274768802776,0.0014430926980253918,TestSub01,TestSession,RecoveryEyesClosed,,InBetween
